ds_name,gr_name,metadata,metadata_link,endpoint,virtuosodb,virtuosodb_link,loaded,log,log_link,original,original_link,released,version
PubMed,http://rdf.integbio.jp/dataset/pubmed,metadata,https://integbio.jp/rdf/dataset/pubmed,https://integbio.jp/rdf/ncbi/sparql,download page,https://dbarchive.biosciencedbc.jp/data/rdf/ncbi/LATEST,2022-02-25,,,,,2022-01-28,
Pubtator,http://rdf.integbio.jp/dataset/pubtator_central,metadata,https://integbio.jp/rdf/dataset/pubtator,https://integbio.jp/rdf/ncbi/sparql,download page,https://dbarchive.biosciencedbc.jp/data/rdf/ncbi/LATEST,2022-02-25,,,,,2022-01-10,
BMRB/RDF,(see metadata),metadata,https://integbio.jp/rdf/dataset/bmrb,https://integbio.jp/rdf/pdb/sparql,download page,https://dbarchive.biosciencedbc.jp/data/rdf/pdb/LATEST,2022-03-09,,,,,2021-11-04,
wwPDB,http://rdf.integbio.jp/dataset/pdbj,metadata,https://integbio.jp/rdf/dataset/pdbj,https://integbio.jp/rdf/pdb/sparql,download page,https://dbarchive.biosciencedbc.jp/data/rdf/pdb/LATEST,2022-03-09,,,,,2022-03-09,
The Human Protein Atlas,,,,https://integbio.jp/rdf/protein-atlas/sparql,,,,,,original,https://www.proteinatlas.org/about/download,,20.1
DisGeNet,http://rdf.integbio.jp/dataset/disgenet,metadata,,https://integbio.jp/rdf/pubcase/sparql,,,2021-05-19,,,original,http://rdf.disgenet.org/download/,2020-06-03,v7.0.0
GO,http://integbio.jp/rdf/bioportal/go,,,https://integbio.jp/rdf/pubcase/sparql,,,2021-05-19,,,,,2021-03-15,
HGNC symbol report,http://togovar.biosciencedbc.jp/hgnc,,,https://integbio.jp/rdf/pubcase/sparql,,,2021-05-19,,,,,2021-03-11,
HPO,http://togovar.biosciencedbc.jp/HPO,,,https://integbio.jp/rdf/pubcase/sparql,,,2021-05-19,,,,,2021-02-17,
MedGen,http://togovar.biosciencedbc.jp/medgen,,,https://integbio.jp/rdf/pubcase/sparql,,,2021-05-19,,,,,2021-03-11,
MeSH,http://togovar.biosciencedbc.jp/mesh,,,https://integbio.jp/rdf/pubcase/sparql,,,2021-05-19,,,,,2021-03-05,
MONDO,http://togovar.biosciencedbc.jp/mondo,,,https://integbio.jp/rdf/pubcase/sparql,,,2021-05-19,,,,,2021-04-15,
NANDO,http://nanbyodata.jp/ontology/nando,,,https://integbio.jp/rdf/pubcase/sparql,,,2021-05-19,,,,,2020-11-11,0.4.3
PubCaseFinder RDF,https://pubcasefinder.dbcls.jp/rdf,metadata,https://integbio.jp/rdf/dataset/pubcasefinder,https://integbio.jp/rdf/pubcase/sparql,,,2021-05-19,,,,,2021-05-18,1.3
PubMed,http://togovar.biosciencedbc.jp/pubmed,,,https://integbio.jp/rdf/pubcase/sparql,,,2021-05-19,,,,,2021-04-21,
UBERON,http://purl.obolibrary.org/obo/uberon.owl,,,https://integbio.jp/rdf/pubcase/sparql,,,2021-05-19,,,,,2021-03-12,
PubChem,(see metadata),metadata,https://integbio.jp/rdf/dataset/pubchem,https://integbio.jp/rdf/pubchem/sparql,download page,https://dbarchive.biosciencedbc.jp/data/rdf/pubchem/LATEST,2022-01-14,log,https://integbio.jp/rdf/mirror/log/pubchem,original,ftp://ftp.ncbi.nlm.nih.gov/pubchem/RDF/,2022-01-01,
neXtProt,http://rdf.integbio.jp/dataset/nextprot,,,https://integbio.jp/rdf/sib/sparql,download page,https://dbarchive.biosciencedbc.jp/data/rdf/sib/LATEST,2021-12-20,log,https://integbio.jp/rdf/mirror/log/misc,original,ftp://ftp.nextprot.org/pub/current_release/rdf/ttl/,2021-02-18,
Rhea,http://rdf.integbio.jp/dataset/rhea,,,https://integbio.jp/rdf/sib/sparql,download page,https://dbarchive.biosciencedbc.jp/data/rdf/sib/LATEST,2021-12-20,log,https://integbio.jp/rdf/mirror/log/misc,original,ftp://ftp.ebi.ac.uk/pub/databases/rhea/rdf/rhea.rdf.gz,2021-11-17,
UniProt,http://sparql.uniprot.org/uniprot,metadata,http://integbio.jp/rdf/dataset/uniprot,https://integbio.jp/rdf/sib/sparql,download page,https://dbarchive.biosciencedbc.jp/data/rdf/sib/LATEST,2021-12-20,log,https://integbio.jp/rdf/mirror/log/uniprot,original,ftp://ftp.uniprot.org/pub/databases/uniprot/current_release/rdf/,2021-11-18,release 2021_04
Uniparc1,http://sparql.uniprot.org/uniparc,metadata,http://integbio.jp/rdf/dataset/uniprot,https://integbio.jp/rdf/uniparc1/sparql,download page,https://dbarchive.biosciencedbc.jp/data/rdf/sib/uniparc/LATEST/,2021-12-20,,,original,ftp://ftp.uniprot.org/pub/databases/uniprot/current_release/rdf/,2021-11-18,release 2021_04
Uniparc2,http://sparql.uniprot.org/uniparc,metadata,http://integbio.jp/rdf/dataset/uniprot,https://integbio.jp/rdf/uniparc2/sparql,download page,https://dbarchive.biosciencedbc.jp/data/rdf/sib/uniparc/LATEST/,2021-12-20,,,original,ftp://ftp.uniprot.org/pub/databases/uniprot/current_release/rdf/,2021-11-18,release 2021_04
Wikidata,http://rdf.integbio.jp/dataset/wikidata,,,https://integbio.jp/rdf/wikidata/sparql,download page,https://dbarchive.biosciencedbc.jp/data/rdf/wikidata/LATEST,2021-11-30,log,https://integbio.jp/rdf/mirror/log/wikidata,original,https://dumps.wikimedia.org/wikidatawiki/entities/,2021-11,
